# t0_us	theta_over_pi_weighted_mean
13.1837838	0.37965887
13.1918919	0.371069253
13.2	0.362693374
13.2081081	0.354533488
13.2162162	0.346591829
13.2243243	0.338870602
13.2324324	0.331371989
13.2405405	0.324098146
13.2486486	0.3170512
13.2567568	0.310233252
13.2648649	0.303646371
13.272973	0.297292601
13.2810811	0.291173951
13.2891892	0.285292401
13.2972973	0.2796499
13.3054054	0.274248362
13.3135135	0.269089669
13.3216216	0.264175669
13.3297297	0.259508174
13.3378378	0.255088961
13.3459459	0.250919772
13.3540541	0.24700231
13.3621622	0.243338242
13.3702703	0.239929196
13.3783784	0.236776762
13.3864865	0.23388249
13.3945946	0.23124789
13.4027027	0.228874431
13.4108108	0.226763543
13.4189189	0.224916613
13.427027	0.223334984
13.4351351	0.222019959
13.4432432	0.220972797
13.4513514	0.220194714
13.4594595	0.219686881
13.4675676	0.219450424
13.4756757	0.219486428
13.4837838	0.219795927
13.4918919	0.220379914
13.5	0.221239335
13.5081081	0.222375088
13.5162162	0.223788027
13.5243243	0.225478957
13.5324324	0.227448638
13.5405405	0.229697781
13.5486486	0.232227051
13.5567568	0.235037064
13.5648649	0.23812839
13.572973	0.241501548
13.5810811	0.245157013
13.5891892	0.249095207
13.5972973	0.253316509
13.6054054	0.257821246
13.6135135	0.262609697
13.6216216	0.267682094
13.6297297	0.273038621
13.6378378	0.278679411
13.6459459	0.284604551
13.6540541	0.29081408
13.6621622	0.297307988
13.6702703	0.304086217
13.6783784	0.311148662
13.6864865	0.318495169
13.6945946	0.326125539
13.7027027	0.334039524
13.7108108	0.342236828
13.7189189	0.350717111
13.727027	0.359479984
13.7351351	0.368525014
13.7432432	0.37785172
13.7513514	0.387459578
13.7594595	0.397348015
13.7675676	0.407516417
13.7756757	0.417964124
13.7837838	0.428690432
13.7918919	0.439694594
13.8	0.450975818
13.8081081	0.462533271
13.8162162	0.474366077
13.8243243	0.48647332
13.8324324	0.498854041
13.8405405	0.511507239
13.8486486	0.524431876
13.8567568	0.537626873
13.8648649	0.551091111
13.872973	0.564823434
13.8810811	0.578822647
13.8891892	0.593087517
13.8972973	0.607616778
13.9054054	0.622409123
13.9135135	0.637463212
13.9216216	0.652777672
13.9297297	0.668351092
13.9378378	0.68418203
13.9459459	0.70026901
13.9540541	0.716610526
13.9621622	0.733205038
13.9702703	0.750050975
13.9783784	0.767146739
13.9864865	0.784490699
13.9945946	0.802081198
14.0027027	0.819916549
14.0108108	0.837995039
14.0189189	0.856314927
14.027027	0.874874449
