# t_us	I_over_time_mean_weighted
14.4696881	0.342463948
14.4859097	0.36766603
14.5021313	0.393926183
14.518353	0.421249331
14.5345746	0.449638919
14.5507962	0.479096902
14.5670178	0.509623718
14.5832395	0.541218279
14.5994611	0.573877961
14.6156827	0.60759859
14.6319043	0.642374441
14.648126	0.678198237
14.6643476	0.715061152
14.6805692	0.752952813
14.6967908	0.79186131
14.7130124	0.831773212
14.7292341	0.872673575
14.7454557	0.914545968
14.7616773	0.95737249
14.7778989	1.00113379
14.7941206	1.04580912
14.8103422	1.09137631
14.8265638	1.13781188
14.8427854	1.185091
14.8590071	1.23318757
14.8752287	1.28207427
14.8914503	1.33172256
14.9076719	1.38210276
14.9238936	1.4331841
14.9401152	1.48493475
14.9563368	1.53732188
14.9725584	1.59031171
14.98878	1.64386956
15.0050017	1.69795994
15.0212233	1.75254655
15.0374449	1.80759237
15.0536665	1.86305973
15.0698882	1.91891035
15.0861098	1.97510539
15.1023314	2.03160555
15.118553	2.08837107
15.1347747	2.14536185
15.1509963	2.20253748
15.1672179	2.2598573
15.1834395	2.31728046
15.1996611	2.37476599
15.2158828	2.43227285
15.2321044	2.48975997
15.248326	2.54718635
15.2645476	2.60451106
15.2807693	2.66169335
15.2969909	2.71869263
15.3132125	2.77546861
15.3294341	2.83198128
15.3456558	2.88819097
15.3618774	2.94405843
15.378099	2.99954482
15.3943206	3.0546118
15.4105423	3.10922156
15.4267639	3.16333681
15.4429855	3.21692088
15.4592071	3.26993773
15.4754287	3.32235196
15.4916504	3.37412886
15.507872	3.42523444
15.5240936	3.47563544
15.5403152	3.52529936
15.5565369	3.57419448
15.5727585	3.62228987
15.5889801	3.66955542
15.6052017	3.71596185
15.6214234	3.76148071
15.637645	3.80608439
15.6538666	3.84974615
15.6700882	3.89244009
15.6863099	3.93414119
15.7025315	3.97482529
15.7187531	4.01446909
15.7349747	4.05305016
15.7511963	4.09054693
15.767418	4.12693868
15.7836396	4.16220556
15.7998612	4.19632854
15.8160828	4.22928946
15.8323045	4.26107095
15.8485261	4.29165649
15.8647477	4.32103035
15.8809693	4.34917761
15.897191	4.37608413
15.9134126	4.40173655
15.9296342	4.42612227
15.9458558	4.44922943
15.9620774	4.47104693
15.9782991	4.49156438
15.9945207	4.51077209
16.0107423	4.5286611
16.0269639	4.54522313
16.0431856	4.56045056
16.0594072	4.57433647
16.0756288	4.58687455
16.0918504	4.5980592
16.1080721	4.60788539
16.1242937	4.61634878
16.1405153	4.62344562
16.1567369	4.62917278
16.1729586	4.63352775
16.1891802	4.63650862
16.2054018	4.63811409
16.2216234	4.63834347
16.237845	4.63719665
16.2540667	4.63467412
16.2702883	4.630777
16.2865099	4.62550699
16.3027315	4.6188664
16.3189532	4.61085814
16.3351748	4.60148576
16.3513964	4.59075341
16.367618	4.57866588
16.3838397	4.56522858
16.4000613	4.55044758
16.4162829	4.53432961
16.4325045	4.51688204
16.4487262	4.49811293
16.4649478	4.47803102
16.4811694	4.45664576
16.497391	4.43396728
16.5136126	4.41000647
16.5298343	4.38477492
16.5460559	4.35828499
16.5622775	4.33054977
16.5784991	4.30158316
16.5947208	4.2713998
16.6109424	4.24001517
16.627164	4.20744551
16.6433856	4.1737079
16.6596073	4.13882025
16.6758289	4.10280129
16.6920505	4.0656706
16.7082721	4.02744861
16.7244938	3.9881566
16.7407154	3.94781673
16.756937	3.90645199
16.7731586	3.86408625
16.7893802	3.82074427
16.8056019	3.77645163
16.8218235	3.73123481
16.8380451	3.68512111
16.8542667	3.63813872
16.8704884	3.59031664
16.88671	3.5416847
16.9029316	3.49227356
16.9191532	3.44211468
16.9353749	3.3912403
16.9515965	3.33968344
16.9678181	3.28747783
16.9840397	3.23465795
17.0002613	3.18125898
17.016483	3.12731674
17.0327046	3.07286771
17.0489262	3.01794896
17.0651478	2.96259813
17.0813695	2.90685341
17.0975911	2.85075345
17.1138127	2.79433739
17.1300343	2.73764475
17.146256	2.68071544
17.1624776	2.62358966
17.1786992	2.5663079
17.1949208	2.50891087
17.2111425	2.45143944
17.2273641	2.3939346
17.2435857	2.3364374
17.2598073	2.27898889
17.2760289	2.22163008
17.2922506	2.16440186
17.3084722	2.10734495
17.3246938	2.05049987
17.3409154	1.99390683
17.3571371	1.93760569
17.3733587	1.88163593
17.3895803	1.82603653
17.4058019	1.77084598
17.4220236	1.71610215
17.4382452	1.6618423
17.4544668	1.60810295
17.4706884	1.55491988
17.4869101	1.50232806
17.5031317	1.45036155
17.5193533	1.39905352
17.5355749	1.34843613
17.5517965	1.29854052
17.5680182	1.24939673
17.5842398	1.20103369
17.6004614	1.15347912
17.616683	1.10675955
17.6329047	1.06090022
17.6491263	1.01592508
17.6653479	0.971856723
17.6815695	0.928716387
17.6977912	0.88652389
17.7140128	0.845297618
17.7302344	0.805054495
17.746456	0.765809962
17.7626776	0.727577957
17.7788993	0.690370898
17.7951209	0.654199672
17.8113425	0.61907362
17.8275641	0.585000538
17.8437858	0.551986668
17.8600074	0.520036698
17.876229	0.48915377
17.8924506	0.459339483
17.9086723	0.430593906
17.9248939	0.402915588
17.9411155	0.376301578
17.9573371	0.350747442
17.9735588	0.326247291
17.9897804	0.302793803
18.006002	0.280378254
18.0222236	0.258990551
18.0384452	0.238619267
18.0546669	0.219251678
18.0708885	0.200873805
